Name,Rating,Number of Reviews,Latitude,Longitude,Search Query,UTC_Time,CenterLat,CenterLon,Distance_m
,4.5,"(15,839)",38.8981675,-77.0208568,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,7273.5
,4.4,(534),38.8469016,-76.9913962,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,5070.7
,4.8,"(1,749)",38.8773022,-77.0201384,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,5167.0
,4.7,(55),38.9076464,-77.0774221,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,8316.5
,4.5,(32),38.8468564,-76.9910452,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,5099.2
,4.4,(20),38.8773521,-77.0204966,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,5157.3
,4.4,(534),38.8469016,-76.9913962,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,3409.1
,4.5,"(15,839)",38.8981675,-77.0208568,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,6903.4
,4.5,(32),38.8468564,-76.9910452,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,3435.9
,4.8,"(1,749)",38.8773022,-77.0201384,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,4607.9
,4.7,(55),38.9076464,-77.0774221,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,8993.0
,4.4,(20),38.8773521,-77.0204966,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,4608.7
,4.5,"(15,839)",38.8981675,-77.0208568,Arena,2026-01-15T18:50:23.171950,38.856359,-77.048358,5223.0
,4.8,"(1,749)",38.8773022,-77.0201384,Arena,2026-01-15T18:50:23.171950,38.856359,-77.048358,3375.2
,4.3,(156),38.8633738,-77.0630541,Arena,2026-01-15T18:50:23.171950,38.856359,-77.048358,1492.5
,4.4,(20),38.8773521,-77.0204966,Arena,2026-01-15T18:50:23.171950,38.856359,-77.048358,3356.7
,4.4,(534),38.8469016,-76.9913962,Arena,2026-01-15T18:50:23.171950,38.856359,-77.048358,5043.5
,4.7,(55),38.9076464,-77.0774221,Arena,2026-01-15T18:50:23.171950,38.856359,-77.048358,6233.1
