Name,Rating,Number of Reviews,Latitude,Longitude,Search Query,UTC_Time,CenterLat,CenterLon,Distance_m
,4.3,(21),38.8251446,-77.0255112,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,2339.2
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,1517.6
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,1820.3
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,7929.7
,4.3,"(1,014)",38.8478104,-77.0514267,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,1300.7
,4.0,"(2,691)",38.8494446,-77.0532668,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,1515.9
,4.3,(21),38.8251446,-77.0255112,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,1271.2
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,1788.9
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,2518.4
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,7633.7
,4.3,"(1,014)",38.8478104,-77.0514267,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,2369.2
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,7965.4
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-15T18:50:09.256299,38.856359,-77.048358,403.7
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-15T18:50:09.258316,38.856359,-77.048358,1030.7
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:50:09.258316,38.856359,-77.048358,5825.3
,4.1,"(2,163)",38.860565,-77.050201,Conference Center,2026-01-15T18:50:09.258316,38.856359,-77.048358,494.1
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:50:09.258316,38.856359,-77.048358,5151.1
,4.0,"(2,691)",38.8494446,-77.0532668,Conference Center,2026-01-15T18:50:09.258316,38.856359,-77.048358,878.5
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-15T18:50:27.831001,38.856359,-77.028358,1786.3
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-15T18:50:27.831001,38.856359,-77.028358,1399.7
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:50:27.831001,38.856359,-77.028358,5415.6
,4.1,"(2,163)",38.860565,-77.050201,Conference Center,2026-01-15T18:50:27.831001,38.856359,-77.028358,1948.3
,4.4,(28),38.8918146,-77.0055037,Conference Center,2026-01-15T18:50:27.831001,38.856359,-77.028358,4411.0
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:50:27.831001,38.856359,-77.028358,6438.8
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:50:46.708683,38.876359,-77.048358,3857.4
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-15T18:50:46.708683,38.876359,-77.048358,2475.4
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:50:46.708683,38.876359,-77.048358,2721.1
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:50:46.708683,38.876359,-77.048358,3800.0
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-15T18:50:46.708683,38.876359,-77.048358,2627.5
,4.5,(278),38.8897747,-77.0729874,Conference Center,2026-01-15T18:50:46.708683,38.876359,-77.048358,2601.9
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:51:05.417453,38.876359,-77.028358,3205.6
,4.4,(28),38.8918146,-77.0055037,Conference Center,2026-01-15T18:51:05.417453,38.876359,-77.028358,2620.4
,5.0,(2),38.8837394,-77.019488,Conference Center,2026-01-15T18:51:05.417453,38.876359,-77.028358,1123.8
,4.1,"(4,592)",38.885564,-77.0196989,Conference Center,2026-01-15T18:51:05.417453,38.876359,-77.028358,1268.6
,5.0,(1),38.8866234,-77.0032551,Conference Center,2026-01-15T18:51:05.417453,38.876359,-77.028358,2454.4
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-15T18:51:05.417453,38.876359,-77.028358,1963.5
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:51:24.349579,38.896359,-77.048358,2390.9
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:51:24.349579,38.896359,-77.048358,949.6
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-15T18:51:24.349579,38.896359,-77.048358,1545.8
,4.3,(12),38.9016479,-77.0354623,Conference Center,2026-01-15T18:51:24.349579,38.896359,-77.048358,1261.5
,4.6,"(3,534)",38.8968125,-77.0322812,Conference Center,2026-01-15T18:51:24.349579,38.896359,-77.048358,1392.2
,5.0,(3),38.898038,-77.03093,Conference Center,2026-01-15T18:51:24.349579,38.896359,-77.048358,1519.8
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:51:42.891094,38.896359,-77.028358,1055.5
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:51:42.891094,38.896359,-77.028358,917.4
,4.7,(18),38.8972523,-77.0104381,Conference Center,2026-01-15T18:51:42.891094,38.896359,-77.028358,1554.0
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-15T18:51:42.891094,38.896359,-77.028358,342.8
,4.4,(28),38.8918146,-77.0055037,Conference Center,2026-01-15T18:51:42.891094,38.896359,-77.028358,2041.5
,4.3,(12),38.9016479,-77.0354623,Conference Center,2026-01-15T18:51:42.891094,38.896359,-77.028358,850.7
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:52:01.903706,38.916359,-77.048358,2538.7
,4.9,(13),38.9146521,-77.0451491,Conference Center,2026-01-15T18:52:01.903706,38.916359,-77.048358,336.3
,4.3,(12),38.9016479,-77.0354623,Conference Center,2026-01-15T18:52:01.903706,38.916359,-77.048358,1980.2
,4.7,(94),38.9252883,-77.0380226,Conference Center,2026-01-15T18:52:01.903706,38.916359,-77.048358,1336.1
,4.9,(78),38.9134225,-77.0477242,Conference Center,2026-01-15T18:52:01.903706,38.916359,-77.048358,331.1
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:52:01.903706,38.916359,-77.048358,2071.4
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:52:20.575801,38.916359,-77.028358,1357.8
,4.9,(13),38.9146521,-77.0451491,Conference Center,2026-01-15T18:52:20.575801,38.916359,-77.028358,1465.1
,4.3,(12),38.9016479,-77.0354623,Conference Center,2026-01-15T18:52:20.575801,38.916359,-77.028358,1747.5
,4.9,(78),38.9134225,-77.0477242,Conference Center,2026-01-15T18:52:20.577232,38.916359,-77.028358,1707.0
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:52:20.577232,38.916359,-77.028358,2056.9
,4.5,"(6,655)",38.9039084,-77.0249614,Conference Center,2026-01-15T18:52:20.577232,38.916359,-77.028358,1415.3
,4.5,"(9,069)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,4130.9
,4.7,(94),38.9252883,-77.0380226,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,1521.4
,4.9,(13),38.9146521,-77.0451491,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,2429.6
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,4191.8
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,6124.3
