Name,Rating,Number of Reviews,Latitude,Longitude,Search Query,UTC_Time,CenterLat,CenterLon,Distance_m
,4.5,"(9,068)",38.9048838,-77.0229934,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,7929.7
,5.0,(2),38.8488678,-77.0413481,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,1517.6
,4.5,(23),38.8527297,-77.0484533,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,1820.3
,4.3,(21),38.8251446,-77.0255112,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,2339.2
,4.5,"(19,333)",38.7807742,-77.0158602,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,6792.0
,4.5,(63),38.7806327,-77.0174033,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,6752.1
,4.5,"(9,068)",38.9048838,-77.0229934,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,7633.7
,5.0,(2),38.8488678,-77.0413481,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,1788.9
,4.5,(23),38.8527297,-77.0484533,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,2518.4
,4.3,(21),38.8251446,-77.0255112,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,1271.2
,4.5,"(19,333)",38.7807742,-77.0158602,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,6274.9
,4.3,(10),38.831531,-76.930591,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,8485.3
,4.5,"(9,068)",38.9048838,-77.0229934,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,5825.3
,4.5,(23),38.8527297,-77.0484533,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,403.7
,5.0,(2),38.8488678,-77.0413481,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,1030.7
,4.5,"(4,380)",38.8939166,-77.0307749,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,4444.9
,4.0,(51),38.8995065,-77.0381579,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,4878.3
