Name,Rating,Number of Reviews,Latitude,Longitude,Search Query,UTC_Time,CenterLat,CenterLon,Distance_m
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,5400.7
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,4705.1
,4.6,(239),38.8213889,-77.0522222,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,1697.9
,4.3,(28),38.8389304,-77.0569883,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,800.3
,4.0,"(7,954)",38.9081324,-76.8639884,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,17845.1
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,10203.3
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,4460.1
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,3807.0
,4.4,(534),38.8469016,-76.9913962,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,3409.1
,4.0,"(7,954)",38.9081324,-76.8639884,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,16314.8
,4.6,(239),38.8213889,-77.0522222,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,2654.1
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,9941.9
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,3997.9
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,3351.8
,4.6,(143),38.8865043,-77.1102224,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,6318.1
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,8057.8
,4.0,"(7,954)",38.9081324,-76.8639884,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,16965.4
,4.4,(886),38.9902626,-76.9472548,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,17268.2
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:50:37.246654,38.856359,-77.028358,1895.1
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:50:37.246654,38.856359,-77.028358,2590.4
,4.4,(534),38.8469016,-76.9913962,Stadium,2026-01-15T18:50:37.246654,38.856359,-77.028358,3369.1
,4.0,"(7,954)",38.9081324,-76.8639884,Stadium,2026-01-15T18:50:37.246654,38.856359,-77.028358,15348.2
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:50:37.246654,38.856359,-77.028358,7724.2
,5.0,(2),38.8677246,-77.0124443,Stadium,2026-01-15T18:50:37.246654,38.856359,-77.028358,1869.7
,4.4,(886),38.9902626,-76.9472548,Stadium,2026-01-15T18:50:37.246654,38.856359,-77.028358,16459.6
,4.8,(6),38.8978339,-77.0493504,Stadium,2026-01-15T18:50:37.246654,38.856359,-77.028358,4956.9
,4.6,(143),38.8865043,-77.1102224,Stadium,2026-01-15T18:50:37.246654,38.856359,-77.028358,7839.8
,4.8,(4),38.8856802,-77.0018252,Stadium,2026-01-15T18:50:37.246654,38.856359,-77.028358,3988.2
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:50:56.059396,38.876359,-77.048358,3562.3
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:50:56.059396,38.876359,-77.048358,3197.2
,4.8,(6),38.8978339,-77.0493504,Stadium,2026-01-15T18:50:56.059396,38.876359,-77.048358,2389.4
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:50:56.059396,38.876359,-77.048358,5970.0
,4.5,"(15,839)",38.8981675,-77.0208568,Stadium,2026-01-15T18:50:56.059396,38.876359,-77.048358,3398.0
,4.4,(93),38.9080358,-77.0753079,Stadium,2026-01-15T18:50:56.059396,38.876359,-77.048358,4224.5
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:51:14.712550,38.876359,-77.028358,1849.3
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:51:14.712550,38.876359,-77.028358,1606.6
,4.3,"(1,206)",38.8761044,-77.0078677,Stadium,2026-01-15T18:51:14.712550,38.876359,-77.028358,1774.0
,4.8,(4),38.8856802,-77.0018252,Stadium,2026-01-15T18:51:14.712550,38.876359,-77.028358,2519.7
,4.8,(6),38.8978339,-77.0493504,Stadium,2026-01-15T18:51:14.712550,38.876359,-77.028358,3000.5
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:51:14.712550,38.876359,-77.028358,5511.6
,4.8,(6),38.8978339,-77.0493504,Stadium,2026-01-15T18:51:33.551437,38.896359,-77.048358,185.1
,4.4,(93),38.9080358,-77.0753079,Stadium,2026-01-15T18:51:33.551437,38.896359,-77.048358,2669.1
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:51:33.551437,38.896359,-77.048358,4391.9
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:51:33.551437,38.896359,-77.048358,4030.5
,4.5,"(15,839)",38.8981675,-77.0208568,Stadium,2026-01-15T18:51:33.551437,38.896359,-77.048358,2388.5
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:51:33.551437,38.896359,-77.048358,4370.5
,4.8,(6),38.8978339,-77.0493504,Stadium,2026-01-15T18:51:52.448906,38.896359,-77.028358,1824.0
,4.5,"(15,839)",38.8981675,-77.0208568,Stadium,2026-01-15T18:51:52.448906,38.896359,-77.028358,679.6
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:51:52.448906,38.896359,-77.028358,3165.6
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:51:52.448906,38.896359,-77.028358,3314.0
,3.7,(3),38.9076669,-77.0127244,Stadium,2026-01-15T18:51:52.448906,38.896359,-77.028358,1846.9
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:51:52.448906,38.896359,-77.028358,3385.6
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:52:11.268072,38.916359,-77.048358,2596.1
