Name,Rating,Number of Reviews,Latitude,Longitude,Search Query,UTC_Time,CenterLat,CenterLon,Distance_m
,4.3,(21),38.8251446,-77.0255112,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,2339.2
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,1517.6
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,1820.3
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,7929.7
,4.3,"(1,014)",38.8478104,-77.0514267,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,1300.7
,4.0,"(2,691)",38.8494446,-77.0532668,Conference Center,2026-01-15T18:49:32.083388,38.836359,-77.048358,1515.9
,4.5,"(9,068)",38.9048838,-77.0229934,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,7929.7
,5.0,(2),38.8488678,-77.0413481,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,1517.6
,4.5,(23),38.8527297,-77.0484533,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,1820.3
,4.3,(21),38.8251446,-77.0255112,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,2339.2
,4.5,"(19,333)",38.7807742,-77.0158602,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,6792.0
,4.5,(63),38.7806327,-77.0174033,Convention Center,2026-01-15T18:49:37.102615,38.836359,-77.048358,6752.1
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,5400.7
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,4705.1
,4.6,(239),38.8213889,-77.0522222,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,1697.9
,4.3,(28),38.8389304,-77.0569883,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,800.3
,4.0,"(7,954)",38.9081324,-76.8639884,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,17845.1
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:49:41.711763,38.836359,-77.048358,10203.3
,4.5,"(15,839)",38.8981675,-77.0208568,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,7273.5
,4.4,(534),38.8469016,-76.9913962,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,5070.7
,4.8,"(1,749)",38.8773022,-77.0201384,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,5167.0
,4.7,(55),38.9076464,-77.0774221,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,8316.5
,4.5,(32),38.8468564,-76.9910452,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,5099.2
,4.4,(20),38.8773521,-77.0204966,Arena,2026-01-15T18:49:46.483260,38.836359,-77.048358,5157.3
,4.3,(21),38.8251446,-77.0255112,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,1271.2
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,1788.9
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,2518.4
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,7633.7
,4.3,"(1,014)",38.8478104,-77.0514267,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,2369.2
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:49:51.070776,38.836359,-77.028358,7965.4
,4.5,"(9,068)",38.9048838,-77.0229934,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,7633.7
,5.0,(2),38.8488678,-77.0413481,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,1788.9
,4.5,(23),38.8527297,-77.0484533,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,2518.4
,4.3,(21),38.8251446,-77.0255112,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,1271.2
,4.5,"(19,333)",38.7807742,-77.0158602,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,6274.9
,4.3,(10),38.831531,-76.930591,Convention Center,2026-01-15T18:49:55.525898,38.836359,-77.028358,8485.3
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,4460.1
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,3807.0
,4.4,(534),38.8469016,-76.9913962,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,3409.1
,4.0,"(7,954)",38.9081324,-76.8639884,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,16314.8
,4.6,(239),38.8213889,-77.0522222,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,2654.1
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:50:00.086722,38.836359,-77.028358,9941.9
,4.4,(534),38.8469016,-76.9913962,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,3409.1
,4.5,"(15,839)",38.8981675,-77.0208568,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,6903.4
,4.5,(32),38.8468564,-76.9910452,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,3435.9
,4.8,"(1,749)",38.8773022,-77.0201384,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,4607.9
,4.7,(55),38.9076464,-77.0774221,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,8993.0
,4.4,(20),38.8773521,-77.0204966,Arena,2026-01-15T18:50:04.659087,38.836359,-77.028358,4608.7
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-15T18:50:09.256299,38.856359,-77.048358,403.7
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-15T18:50:09.258316,38.856359,-77.048358,1030.7
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:50:09.258316,38.856359,-77.048358,5825.3
,4.1,"(2,163)",38.860565,-77.050201,Conference Center,2026-01-15T18:50:09.258316,38.856359,-77.048358,494.1
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:50:09.258316,38.856359,-77.048358,5151.1
,4.0,"(2,691)",38.8494446,-77.0532668,Conference Center,2026-01-15T18:50:09.258316,38.856359,-77.048358,878.5
,4.5,"(9,068)",38.9048838,-77.0229934,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,5825.3
,4.5,(23),38.8527297,-77.0484533,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,403.7
,5.0,(2),38.8488678,-77.0413481,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,1030.7
,4.5,"(4,380)",38.8939166,-77.0307749,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,4444.9
,4.0,(51),38.8995065,-77.0381579,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,4878.3
,4.7,(30),38.8908054,-77.0881445,Convention Center,2026-01-15T18:50:14.046848,38.856359,-77.048358,5151.1
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,3997.9
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,3351.8
,4.6,(143),38.8865043,-77.1102224,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,6318.1
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,8057.8
,4.0,"(7,954)",38.9081324,-76.8639884,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,16965.4
,4.4,(886),38.9902626,-76.9472548,Stadium,2026-01-15T18:50:18.613816,38.856359,-77.048358,17268.2
