Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
HPPETROLPUMP-CITYSERVICESTATION,3.9,-660,30.691803,76.734586,FuelStation,PetrolPump
IndianOil,3.9,"-1,177",30.679655,76.746323,FuelStation,PetrolPump
MaanVehiclePollutionCheckCentre49,4,-40,30.697025,76.758798,FuelStation,PetrolPump
HPPETROLPUMP-CITYSERVICESTATION,3.9,-660,30.691803,76.734586,FuelStation,LPGStation
IndianOil,3.9,"-1,177",30.679655,76.746323,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,LPGStation
BharatGas-VirdiGasService,3.2,-69,30.68601,76.738936,FuelStation,LPGStation
HarpalMotors,4.8,-4,30.68676,76.760677,FuelStation,LPGStation
PowerbankChargingStation,3,-2,30.702507,76.729567,FuelStation,ElectricalChargingStation
EVortableChargingStation,N/A,N/A,30.7063,76.757552,FuelStation,ElectricalChargingStation
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,PetrolPump
IndianOil,4,-552,N/A,N/A,FuelStation,PetrolPump
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
MunicipalPetrolPump,3.9,-330,30.709849,76.747231,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
AutoLPGSTATION,4.4,-37,30.724181,76.770894,FuelStation,LPGStation
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,LPGStation
KapoorServiceStation,4.2,-60,30.724066,76.770854,FuelStation,LPGStation
"KaranFillingStation,Chandigarh",4.2,-19,30.710894,76.743042,FuelStation,LPGStation
AmaliaPumpCNGFillingCentre,4,"-2,718",30.709726,76.748739,FuelStation,LPGStation
PowerbankChargingStation,3,-2,30.702507,76.729567,FuelStation,ElectricalChargingStation
PowerbankChargingStation,N/A,N/A,30.718145,76.776171,FuelStation,ElectricalChargingStation
ElectricVehicleChargingStation,N/A,N/A,30.720301,76.729657,FuelStation,ElectricalChargingStation
ChargeZoneChargingStation,N/A,N/A,30.720487,76.729234,FuelStation,ElectricalChargingStation
ElectricVehicleChargingStation,N/A,N/A,30.70409,76.802541,FuelStation,ElectricalChargingStation
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,PetrolPump
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
HPPetrolPump,4,"-1,923",30.714826,76.742931,FuelStation,PetrolPump
MunicipalPetrolPump,3.9,-330,30.709849,76.747231,FuelStation,PetrolPump
HPPETROLPUMPFILLINGSTATION,4,-805,30.720585,76.729237,FuelStation,PetrolPump
AutoLPGSTATION,4.4,-37,30.724181,76.770894,FuelStation,LPGStation
IndianOil,3.9,-876,30.722814,76.738078,FuelStation,LPGStation
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,LPGStation
KapoorServiceStation,4.2,-60,30.724066,76.770854,FuelStation,LPGStation
HPPETROLPUMPFILLINGSTATION,4,-805,30.720585,76.729237,FuelStation,LPGStation
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
HPPETROLPUMPFILLINGSTATION,4,-805,30.720585,76.729237,FuelStation,PetrolPump
BPCLPetrolpump,3.9,"-1,677",30.728885,76.733307,FuelStation,PetrolPump
IndianOil,3.9,-876,30.722814,76.738078,FuelStation,PetrolPump
HPPetrolPump,4,"-1,923",30.714826,76.742931,FuelStation,PetrolPump
IndianOil,3.9,-876,30.722814,76.738078,FuelStation,LPGStation
Supergasservicebharatgas,3.6,-59,30.727327,76.74899,FuelStation,LPGStation
ElectricVehicleChargingStation,3,-3,30.728155,76.739389,FuelStation,ElectricalChargingStation
PowerbankChargingStation,N/A,N/A,30.718145,76.776171,FuelStation,ElectricalChargingStation
PowerbankChargingStation,3,-2,30.702507,76.729567,FuelStation,ElectricalChargingStation
ElectricVehicleChargingStation,N/A,N/A,30.720301,76.729657,FuelStation,ElectricalChargingStation
GLIDAChargingStation,N/A,N/A,30.738857,76.715812,FuelStation,ElectricalChargingStation
IndianOil,4,"-1,130",30.734392,76.727989,FuelStation,PetrolPump
IndianOil,3.9,-876,30.722814,76.738078,FuelStation,PetrolPump
HPPETROLPUMPFILLINGSTATION,4,-805,30.720585,76.729237,FuelStation,PetrolPump
BPCLPetrolpump,3.9,"-1,677",30.728885,76.733307,FuelStation,PetrolPump
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,PetrolPump
IndianOil,3.9,-876,30.722814,76.738078,FuelStation,LPGStation
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,LPGStation
"BPCL,ShyamaShyamFillingStation",3.8,-158,30.72906,76.765775,FuelStation,LPGStation
HPPETROLPUMPFILLINGSTATION,4,-805,30.720585,76.729237,FuelStation,LPGStation
Supergasservicebharatgas,3.6,-59,30.727327,76.74899,FuelStation,LPGStation
ChargeZoneChargingStation,N/A,N/A,30.742719,76.754866,FuelStation,ElectricalChargingStation
IndianOil,3.9,-949,30.742697,76.754974,FuelStation,PetrolPump
PerfectPunture,N/A,N/A,30.74283,76.754919,FuelStation,PetrolPump
IndianOil,3.9,-949,30.742697,76.754974,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
HPPETROLPUMP-CITYSERVICESTATION,3.9,-660,30.691803,76.734586,FuelStation,PetrolPump
IndianOil,3.9,"-1,177",30.679655,76.746323,FuelStation,PetrolPump
MaanVehiclePollutionCheckCentre49,4,-40,30.697025,76.758798,FuelStation,PetrolPump
HPPETROLPUMP-CITYSERVICESTATION,3.9,-660,30.691803,76.734586,FuelStation,LPGStation
IndianOil,3.9,"-1,177",30.679655,76.746323,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,LPGStation
BharatGas-VirdiGasService,3.2,-69,30.68601,76.738936,FuelStation,LPGStation
HarpalMotors,4.8,-4,30.68676,76.760677,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
HPPETROLPUMP-CITYSERVICESTATION,3.9,-660,30.691803,76.734586,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
ChawlaPetrolPump,4,-378,30.702441,76.729237,FuelStation,PetrolPump
IndianOil,4,-552,N/A,N/A,FuelStation,PetrolPump
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,LPGStation
EVortableChargingStation,N/A,N/A,30.7063,76.757552,FuelStation,ElectricalChargingStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
HPPetrolPump,4,"-1,923",30.714826,76.742931,FuelStation,PetrolPump
MunicipalPetrolPump,3.9,-330,30.709849,76.747231,FuelStation,PetrolPump
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,LPGStation
"KaranFillingStation,Chandigarh",4.2,-19,30.710894,76.743042,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,LPGStation
AmaliaPumpCNGFillingCentre,4,"-2,718",30.709726,76.748739,FuelStation,LPGStation
Indane-PuniaGasService,3.1,-70,30.709731,76.772789,FuelStation,LPGStation
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,PetrolPump
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
HPPetrolPump,4,"-1,923",30.714826,76.742931,FuelStation,PetrolPump
MunicipalPetrolPump,3.9,-330,30.709849,76.747231,FuelStation,PetrolPump
RajpuraAmbala,4,-56,30.716872,76.752498,FuelStation,PetrolPump
AmaliaPumpCNGFillingCentre,4,"-2,718",30.709726,76.748739,FuelStation,LPGStation
ElectricVehicleChargingStation,3,-3,30.728155,76.739389,FuelStation,ElectricalChargingStation
ChargeZoneChargingStation,N/A,N/A,30.72684,76.767139,FuelStation,ElectricalChargingStation
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
BPCLPetrolpump,3.9,"-1,677",30.728885,76.733307,FuelStation,PetrolPump
IndianOil,3.9,-876,30.722814,76.738078,FuelStation,PetrolPump
HPPetrolPump,4,"-1,923",30.714826,76.742931,FuelStation,PetrolPump
RajpuraAmbala,4,-56,30.716872,76.752498,FuelStation,PetrolPump
AutoLPGSTATION,4.4,-37,30.724181,76.770894,FuelStation,LPGStation
KapoorServiceStation,4.2,-60,30.724066,76.770854,FuelStation,LPGStation
IndianOil,3.9,-876,30.722814,76.738078,FuelStation,LPGStation
IndianOil,4,-414,30.724312,76.770866,FuelStation,LPGStation
BPCLPetrolPump,3.8,-265,30.729383,76.766404,FuelStation,LPGStation
BharatPetroleumKeroseneFilingStation,4.1,-26,30.725167,76.758807,FuelStation,PetrolPump
Supergasservicebharatgas,3.6,-59,30.727327,76.74899,FuelStation,PetrolPump
Supergasservicebharatgas,3.6,-59,30.727327,76.74899,FuelStation,LPGStation
ChargeZoneChargingStation,N/A,N/A,30.742719,76.754866,FuelStation,ElectricalChargingStation
IndianOil,3.9,-949,30.742697,76.754974,FuelStation,PetrolPump
PerfectPunture,N/A,N/A,30.74283,76.754919,FuelStation,PetrolPump
IndianOil,3.9,-949,30.742697,76.754974,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
IndianOil,3.9,"-1,177",30.679655,76.746323,FuelStation,PetrolPump
MaanVehiclePollutionCheckCentre49,4,-40,30.697025,76.758798,FuelStation,PetrolPump
Perfectpenctureshop,1,-1,30.698474,76.758609,FuelStation,PetrolPump
IndianOil,3.9,"-1,177",30.679655,76.746323,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,LPGStation
HarpalMotors,4.8,-4,30.68676,76.760677,FuelStation,LPGStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
HPPETROLPUMP-CITYSERVICESTATION,3.9,-660,30.691803,76.734586,FuelStation,PetrolPump
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,PetrolPump
BharatPetroleum,4.4,"-3,067",30.723274,76.771616,FuelStation,PetrolPump
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,LPGStation
EVortableChargingStation,N/A,N/A,30.7063,76.757552,FuelStation,ElectricalChargingStation
IndianOil,4.1,"-2,027",30.696984,76.758506,FuelStation,PetrolPump
IndianOil,4.1,-824,30.716741,76.752579,FuelStation,PetrolPump
IndianOil,3.8,-491,30.698511,76.758614,FuelStation,PetrolPump
HPPetrolPump,4,"-1,923",30.714826,76.742931,FuelStation,PetrolPump
MunicipalPetrolPump,3.9,-330,30.709849,76.747231,FuelStation,PetrolPump
IndianOil,4.1,"-2,285",30.710815,76.743211,FuelStation,LPGStation
